taxid	description
1133557	Phytophthora infestans RNA virus 3
1134579	Lunk virus NKS-1
1136133	Porcine kobuvirus SH-W-CHN/2010/China
1136534	Bacillus phage BCD7
1137931	Astrovirus wild boar/WBAstV-1/2011/HUN
1136731	Bacillus phage BPS13
1138489	Tucunduba virus strain=BeAR643361
1137745	Cyanophage S-TIM5
1138490	Cachoeira Porteira virus strain=BeAr328208
1141132	Aeromonas phage phiAS7
1141133	Bacillus phage B4
1141134	Salmonella virus SPN19
1141135	Cronobacter phage vB_CsaM_GAP31
1141139	Escherichia phage vB_EcoP_ACG-C91 strain=vB_EcoP_C91
1141136	Cronobacter phage vB_CsaM_GAP32 strain=GAP-32
1141137	Cronobacter phage vB_CsaP_GAP52 strain=vB_CsaP_GAP-52
1141138	Cronobacter phage vB_CsaM_GAP161
1141140	Escherichia phage vB_EcoS_ACG-M12 strain=vB_EcoS_MSHS1210
1141141	Escherichia phage vB_EcoM_ACG-C40
1141525	Pseudomonas phage vB_Pae-TbilisiM32
1141519	Escherichia phage phiKT
1141526	Pseudomonas phage vB_Pae-Kakheti25
1141625	Murine astrovirus strain=STL 1
1144379	Trichechus manatus latirostris papillomavirus 2 strain=M09-20
1147042	Staphylococcus phage StB12
1147043	Staphylococcus phage StB20
1147094	Klebsiella phage vB_KleM_RaK2
1147044	Staphylococcus phage StB27
1147137	Clostridium phage phi8074-B1
1147139	Enterobacter phage phiKDA1
1147140	Salmonella phage SPN3UB
1147142	Escherichia phage HK578
1147141	Mycobacterium phage Spartacus
1147143	Enterobacteria phage HK140
1147145	Escherichia phage HK446
1147144	Enterobacteria phage HK225
1147146	Escherichia phage HK630
1147147	Escherichia phage HK633
1147148	Escherichia phage HK629
1147149	Enterobacteria phage mEp043 c-1
1147150	Enterobacteria phage mEp235
1147151	Enterobacteria phage mEp237
1147152	Enterobacteria phage mEp460
1147153	Escherichia phage mEpX1
1147156	Enterobacterial phage mEp213
1147157	Escherichia phage mEp234
1147160	Viral hemorrhagic septicemia virus Fil3
1147158	Enterobacterial phage mEp390
1147722	Escherichia phage JLK-2012
1147155	Enterobacteria phage vB_EcoS_Rogue1
1148491	Rosellinia necatrix victorivirus 1
1148496	Yado-kari virus 1 strain=2-W1032/S6
1149880	New World begomovirus associated satellite DNA isolate 404N1
1150019	New World begomovirus associated satellite DNA isolate H1
1149883	New World begomovirus associated satellite DNA isolate 412N1
1150353	Gentian Kobu-sho-associated virus
1150861	Canine picodicistrovirus strain=209
1149871	New World begomovirus associated satellite DNA isolate 177H3
1149875	New World begomovirus associated satellite DNA isolate 228H1
1147154	Escherichia phage mEpX2
1150869	Escherichia phage P13374
1150989	Vibrio phage pVp-1
1150990	Enterobacter phage Enc34
1150991	Sphingomonas phage PAU
1150992	Ralstonia phage RSS0
1156719	Halorubrum pleomorphic virus 2
1154689	Haloarcula hispanica icosahedral virus 2
1151014	Vibrio phage phi-A318
1154995	Helicobacter phage 1961P
1155188	Bovine rhinitis A virus strain=Sd-1
1156720	Halorubrum pleomorphic virus 3
1157338	Canine astrovirus strain=Gillingham/2012/UK
1156721	Halorubrum pleomorphic virus 6
1156769	Porcine kobuvirus
1157337	Piscine orthoreovirus
1156722	Halogeometricum pleomorphic virus 1
1157339	Aeropyrum coil-shaped virus
1158189	Chaco virus strain=BeAn42217
1158190	Marco virus strain=BeAn40290
1159902	Common moorhen coronavirus HKU21 strain=HKU21-8295
1159195	Southern elephant seal virus
1159904	Night heron coronavirus HKU19 strain=HKU19-6918
1159905	Porcine coronavirus HKU15 strain=HKU15-44
1159905	Porcine coronavirus HKU15 strain=HKU15-155
1159903	Magpie-robin coronavirus HKU18 strain=HKU18-chu3
1158680	Pseudomonas phage NH-4
1159907	White-eye coronavirus HKU16 strain=HKU16-6847
1159908	Wigeon coronavirus HKU20 strain=HKU20-9243
1160968	Rabbit coronavirus HKU14 strain=HKU14-1
1159906	Sparrow coronavirus HKU17 strain=HKU17-6124
1161132	Rabbit astrovirus TN/2208/2010
1161901	Bacillus phage PBC1
1161903	Pseudomonas phage MP42
1161930	Leuconostoc phage Lmd1
1161906	Weissella phage phiYS61
1161927	Pseudomonas phage Lu11
1161931	Agrobacterium phage 7-7-1
1161928	Vibrio phage SSP002
1161933	Mycobacterium phage Twister
1161934	Mycobacterium phage Tiger
1161939	Enterococcus phage vB_Efae230P-4
1161935	Salinivibrio phage CW02
1162280	Tomato rugose yellow leaf curl virus strain=A
1162083	Clitocybe odora virus
1162295	Cronobacter phage CR3
1162304	Clostridium phage phiCP7R
1162290	Cronobacter phage CR9
1162305	Clostridium phage phiCPV4
1162306	Clostridium phage phiZP2
1162393	Raphanus sativas chrysovirus 1
1162557	Chickpea yellows virus
1163537	Tianjin totivirus
1163482	Salmonella phage Ent1
1163701	Eidolon helvum papillomavirus 1
1163703	Equus asinus papillomavirus 1
1163708	Rupicapra rupicapra papillomavirus 1
1163709	Vulpes vulpes papillomavirus 1
1163715	Gyrovirus GyV3 strain=FecGy
1167690	Xanthophyllomyces dendrorhous virus L1A
1167691	Xanthophyllomyces dendrorhous virus L1B
1165702	Staphylococcus phage phi7401PVL strain=JCSC7401
1165907	Porcine bocavirus
1167696	Ikoma lyssavirus
1168280	Cronobacter phage phiES15
1168281	Vibrio phage VvAW1
1168478	Nonlabens phage P12024S
1168479	Nonlabens phage P12024L
1168547	Acartia tonsa copepod circovirus
1168548	Salmonella phage vB_SemP_Emek
1168550	Maize yellow striate virus
1168549	Salmonella phage vB_SosS_Oslo
1168563	Stenotrophomonas phage Smp131
1168594	Mycobacterium virus Avani
1168595	Mycobacterium phage Aeneas
1168612	Staphylococcus phage SMSAP5
1169032	Wasabi mottle virus strain=wasabi
1170234	Feline morbillivirus strain=OtJP001
1170234	Feline morbillivirus strain=761U
1168744	Listeria phage vB_LmoM_AG20
1168613	Staphylococcus phage TEM123
1170656	Vinca leaf curl virus
1170424	Negev virus strain=PL17
1170425	Piura virus strain=CoR29
1172195	Turkey calicivirus
1172196	Chicken calicivirus strain=RS/BR/2015
1172353	Tomato yellow leaf curl Oman betasatellite
1173138	Influenza D virus (D/swine/Oklahoma/1334/2011)
1172985	Mogiana tick virus
1173135	Enterococcus phage BC611
1173297	Halocynthia phage JM-2012
1173709	Labidocera aestiva circovirus
1170422	Loreto virus strain=3940-83
1173743	Listeria phage LP-030-2
1173745	Listeria phage LP-026
1173747	Listeria phage LP-037
1173748	Listeria phage LP-110
1173749	Salmonella phage FSL SP-031
1173757	Salmonella virus FSLSP088
1173754	Salmonella virus FSLSP030
1173761	Salmonella phage FSL SP-058
1173762	Salmonella phage FSL SP-076
1173765	Listeria phage LP-124
1173764	Listeria phage LP-048
1173766	Listeria phage LP-125
1174526	Wheat dwarf India virus
1173769	Salmonella phage FSLSP004
1174530	Feline bocavirus strain=HK797F
1175504	Mycobacterium phage SWU1
1175505	Ageratum leaf curl betasatellite
1175662	Pseudomonas phage PaMx42
1175654	Pseudomonas phage PaMx25
1176153	Tomato necrotic stunt virus strain=MX9354
1175657	Pseudomonas phage PaMx11
1176156	Tomato leaf curl Yemen betasatellite
1176422	Croceibacter phage P2559S
1176423	Marinomonas phage P12026
1176484	Canine vesivirus
1176736	Pitaya virus X
1176425	Mycobacterium phage ICleared
1176767	Yersinia phage YpsP-G
1176766	Yersinia phage YpP-Y
1177630	American hop latent virus
1181310	Sclerotinia sclerotiorum dsRNA mycovirus-L
1177632	Salmonella phage SSU5
1182518	Maize streak Reunion virus
1182515	Mannheimia phage vB_MhM_1152AP
1183241	Persimmon cryptic virus
1183239	Salisaeta icosahedral phage 1
1185359	Bat sapovirus TLC58/HK
1187128	Acinetobacter phage AP22
1187894	Clostridium phage PhiS63
1187973	Otarine picobirnavirus strain=PF080915
1188792	Phaseolus vulgaris alphaendornavirus 1
1188793	Phaseolus vulgaris alphaendornavirus 2
1188794	Xanthomonas virus CP1
1188819	Cuban alphasatellite 1
1188812	Peristrophe mosaic virus
1193422	Goose adenovirus 4 strain=P29
1188795	Xanthomonas citri phage CP2
1194091	Klebsiella phage NTUH-K2044-K1-1
1194641	Bacillus phage BtCS33
1194757	Canine circovirus
1194642	Mycobacterium virus Nepal
1195068	Staphylococcus phage StauST398-1
1195070	Mycobacterium virus MacnCheese
1195071	Staphylococcus phage StauST398-3
1195072	Bacillus phage vB_BceM_Bc431v3
1195075	Mycobacterium virus Astro
1195076	Staphylococcus phage Staph1N
1195077	Staphylococcus phage A3R
1195078	Staphylococcus phage Fi200W
1195080	Staphylococcus phage P4W
1195079	Staphylococcus phage MSA6
1195081	Staphylococcus phage 676Z
1195085	Cronobacter phage CR5
1195087	Sunshine Coast virus
1195086	Staphylococcus phage SA13
1195163	Amazon lily mild mottle virus strain=Japan
1195364	Miniopterus schreibersii papillomavirus 1 strain=TT20F
1195365	Miniopterus schreibersii picornavirus 1
1195367	Myotis myotis bocavirus 1
1195370	Myotis ricketti papillomavirus 1
1195373	Rhinolophus ferrumequinum circovirus 1
1195796	Human papillomavirus 154
1195378	Tomato dwarf leaf virus
1196647	Canine picornavirus strain=325F
1196237	Digitaria ciliaris striate mosaic virus
1196236	Paspalum dilatatum striate mosaic virus
1197935	Enterobacteriaphage UAB_Phi87
1197951	Celeribacter phage P12053L
1197953	Staphylococcus virus IPLA7
1197952	Staphylococcus virus IPLA5
1198013	Aeromonas phage Aes508
1198014	Aeromonas phage Aes012
1198144	Donkey orchid virus A
1198134	Premna leaf curl virus
1198147	Caladenia virus A
1198329	Marine RNA virus SF-1
1198219	Sweet potato leaf curl China virus
1198450	Jacquemontia mosaic Yucatan virus
1198498	Honeysuckle yellow vein mosaic betasatellite
1200862	Staphylococcus phage Stau2
1200971	French bean leaf curl betasatellite-Kanpur
1202142	Citrus chlorotic dwarf associated virus
1203539	MW polyomavirus strain=MA095
1204178	Helicobacter phage KHP40
1204515	Mycobacterium phage Taj
1204516	Aeromonas phage CC2
1204517	Pseudomonas phage MP1412
1204523	Escherichia phage ECML-4
1204521	Escherichia phage ECML-117
1204522	Escherichia phage ECML-134
1204524	Streptomyces phage phiHau3
1204528	Salmonella phage SKML-39
1204531	Salmonella phage STML-198
1204533	Bacillus phage phiAGATE
1204535	Clostridium phage phiMMP04
1204529	Salmonella phage SSE121 strain=SSE-121
1204534	Clostridium phage phiMMP02
1204525	Streptomyces phage SV1
1204538	Pseudomonas phage Phi-S1
1204537	Caulobacter virus phiCbK
1204540	Enterococcus phage EfaCPT1
1204542	Pseudomonas phage PA26
1204541	Salmonella phage wksl3
1204539	Pectobacterium phage My1
1206110	Lactobacillus phage phiAQ113
1204543	Staphylococcus virus SA11
1206313	Enterobacteria phage C-1 INW-2012
1206300	Enterobacteria phage Hgal1
1206556	Yersinia phage phiR8-01
1206557	Yersinia phage phiR2-01
1206558	Yersinia phage phiR1-RT
1206559	Yersinia phage phi80-18
1206566	Blueberry virus A
1208236	Helicobacter phage KHP30
1206560	Yersinia phage phiD1
1208310	Porcine partetravirus strain=FMV10-1437266
1208587	Streptococcus phage SPQS1
1211278	Streptomyces phage phiELB20
1211281	Mycobacterium virus Arturo
1211279	Salmonella phage vB_SenS_AG11
1211280	Stenotrophomonas phage IME13
1211282	Mycobacterium virus Goose
1211283	Mycobacterium virus Marcell
1211285	Staphylococcus phage SP5
1211386	Pectobacterium phage PhiM1
1211388	Apple green crinkle associated virus
1211480	Persimmon virus A strain=persimmon isolate
1211481	Persimmon latent virus strain=persimmon isolate
1211417	uncultured crAssphage
1211640	Caulobacter phage CcrColossus
1211641	Caulobacter virus Karma
1211643	Caulobacter virus Rogue
1211642	Caulobacter virus Magneto
1213187	Tobacco leaf chlorosis betasatellite
1213198	Lleida bat lyssavirus
1211644	Caulobacter virus Swift
1213406	Jatropha mosaic Nigeria virus
1214459	Citrus yellow vein clearing virus
1213588	Rose yellow vein virus strain=RYVV-MN1
1213620	Bhanja virus strain=ibAr2709
1214955	Gyrovirus 4 strain=D137
1216926	Escherichia phage ADB-2
1216928	Heartland virus
1217810	Pectobacterium phage PP1
1218490	Torque teno zalophus virus 1
1217821	Sibine fusca densovirus
1219465	Lone Star virus
1218727	French bean severe leaf curl virus
1220025	Pokeweed mosaic virus
1219896	Raccoon polyomavirus strain=R45
1220601	Rhizobium phage RHEph01
1220604	Rhizobium phage RHEph04
1220714	Rhizobium phage RHEph06
1220602	Rhizobium phage RHEph02
1220715	Rhizobium phage RHEph08
1220716	Rhizobium phage RHEph09
1220717	Rhizobium phage RHEph10
1221206	Soybean chlorotic spot virus
1221208	Papilio polyxenes densovirus
1221391	Cedar virus
1221437	Grapevine virus F
1221449	Soybean Putnam virus
1221637	Bat polyomavirus
1221835	Acinetobacter phage YMC/09/02/B1251
1223259	Pseudomonas phage JBD24
1223302	Bluegill picornavirus
1223261	Pseudomonas phage JBD5
1223260	Pseudomonas phage JBD30
1222338	Enterobacteria phage GEC-3S
1223561	CAS virus
1223562	Golden Gate virus
1224510	Nepavirus
1225069	Pouzolzia golden mosaic virus
1224515	Picalivirus A
1225644	Bhendi yellow vein mosaic virus-associated alphasatellite
1225790	Pseudomonas phage MPK7
1225789	Enterobacteria phage SfI
1225795	Lactobacillus phage ATCC 8014-B2
1225800	Listeria phage P70
1225792	Pseudomonas phage JBD25
1225861	Mycobacterium virus Dorothy
1225862	Mycobacterium virus Rebeuca
1226255	Stx2-converting phage Stx2a_F451
1226258	Stx2-converting phage Stx2a_WGPS9
1226260	Stx2-converting phage Stx2a_WGPS2
1227354	Bean chlorosis virus
1226263	Stx2-converting phage Stx2a_WGPS8
1226262	Stx2-converting phage Stx2a_WGPS6
1226723	Canis familiaris papillomavirus 13
1227356	Dalechampia chlorotic mosaic virus
1227357	Datura leaf distortion virus
1227557	Mulberry badnavirus 1
1228012	Spodoptera exigua iflavirus 2
1229751	Lactococcus phage BM13
1229324	Baminivirus
1229325	Niminivirus
1229186	Malakal virus
1229752	Campylobacter phage CP30A
1229754	Vibrio phage vB_VpaM_MAR
1229755	Vibrio phage vB_VpaS_MAR10
1229753	Escherichia phage phAPEC8
1229757	Escherichia phage EC6
1229782	Propionibacterium phage P9.1
1229760	Acinetobacter phage phiAC-1
1229784	Propionibacterium phage P14
1229786	Propionibacterium phage P101A
1229788	Propionibacterium phage P105
1229787	Propionibacterium phage P104A
1229789	Propionibacterium phage P100D
1229790	Propionibacterium phage P100_A
1229791	Propionibacterium phage P100_1
1229792	Propionibacterium phage P1.1
1229793	Propionibacterium phage ATCC29399B_T
1229794	Propionibacterium phage ATCC29399B_C
1230253	Herbert virus strain F23/CI/2004
1231334	Tomato leaf curl Hajipur betasatellite
1231298	Cassava mosaic Madagascar alphasatellite
1231048	Pseudomonas phage vB_PaeM_C2-10_Ab1
1231387	Porcine stool-associated circular virus
1231903	Eilat virus
1233383	Human cosavirus
1233675	Honeysuckle yellow vein Kagoshima virus
1234171	Sauropus leaf curl disease associated DNA beta
1233488	Vibrio phage VPMS1
1234701	Pseudomonas phage vB_PaeP_p2-10_Or1
1234872	Dragonfly circularisvirus
1234878	Dragonfly cyclicusvirus
1234879	Dragonfly associated cyclovirus 1
1234874	Dragonfly orbiculatusvirus
1234880	Dragonfly associated cyclovirus 2
1234881	Dragonfly associated cyclovirus 3
1234882	Dragonfly associated cyclovirus 4
1234884	Dragonfly-associated circular virus 3
1234887	Dragonfly associated gemykibivirus 1
1234886	Dragonfly-associated circular virus 2
1234883	Dragonfly associated cyclovirus 5
1234888	Dragonfly-associated microphage 1
1235314	Megavirus lba
1235427	Equus caballus papillomavirus 6
1235430	Equus caballus papillomavirus 7
1235428	Equus caballus papillomavirus 4
1235429	Equus caballus papillomavirus 5
1235559	Providencia phage Redjac
1235640	Enterobacteria phage M
1235645	Propionibacterium phage PHL010M04
1235646	Propionibacterium phage PHL037M02
1235647	Propionibacterium phage PHL060L00
1235650	Propionibacterium phage PHL071N05
1235649	Propionibacterium phage PHL067M10
1235653	Propionibacterium phage PHL111M01
1235654	Propionibacterium phage PHL112N00
1235655	Propionibacterium phage PHL113M01
1235656	Propionibacterium phage PHL114L00
1235659	Staphylococcus phage vB_SauM_Remus
1235660	Staphylococcus phage vB_SauM_Romulus
1235661	Pseudomonas phage UFV-P2
1235689	Pseudomonas phage AF strain=Pseudomonas putida GB-1
1235824	Acinetobacter phage Abp1
1236000	Klebsiella phage JD001
1236047	Culex originated Tymoviridae-like virus
1236392	Cebus albifrons polyomavirus 1
1236391	Ateles paniscus polyomavirus 1
1236395	Cercopithecus erythrotis polyomavirus 1
1236398	Macaca fascicularis polyomavirus 1
1236400	Pan troglodytes troglodytes polyomavirus 1
1236406	Piliocolobus badius polyomavirus 2
1236407	Piliocolobus rufomitratus polyomavirus 1
1236767	Canis familiaris papillomavirus 14
1236410	Saimiri sciureus polyomavirus 1
1237159	Escherichia phage NJ01
1237364	Escherichia phage HX01
1239382	Stenotrophomonas phage IME15
1238162	Mungbean yellow mosaic India virus associated betasatellite [India: Faizabad: Cow Pea:2012]
1239381	Streptococcus phage phiNJ2
1238455	Dak Nong virus strain=HL30
1239383	Staphylococcus phage JD007
1239384	Escherichia phage IME11
1239452	Brugmansia mosaic virus strain=SK
1239565	Mamastrovirus 1
1239386	Streptomyces phage phiCAM
1239385	Staphylococcus phage SA5
1239566	Mamastrovirus 2
1239567	Mamastrovirus 3
1239574	Mamastrovirus 10
1239577	Mamastrovirus 13
1241370	Okra leaf curl Oman virus
1241371	Abalone herpesvirus Victoria/AUS/2009
1239832	Torque teno sus virus k2b
1241918	Le Blanc nodavirus strain=JU1498
1241957	Porcine parvovirus 5
1241933	Rousettus bat coronavirus HKU10
1243178	Rubus canadensis virus 1
1242863	Spodoptera exempta nucleopolyhedrovirus strain=244.1
1243183	Acinetobacter phage vB_AbaM-IME-AB2
1244563	Culex theileri flavivirus strain=JKT-8650
1244565	Ochlerotatus caspius flavivirus
1244856	Edwardsiella phage KF-1
1245561	Wuharv parvovirus 1
1245814	Mycobacterium phage First
1245909	Sulfolobales Mexican rudivirus 1
1245890	Escherichia virus JL1
1246650	Blechum interveinal chlorosis virus
1246651	Heliothis virescens ascovirus 3g
1246677	Norovirus GV
1246849	Malvastrum yellow vein Chitwan betasatellite
1247113	Astrovirus VA4
1247114	Astrovirus MLB3
1247115	Diuris virus A
1247116	Diuris virus B
1249648	Dragonfly-associated mastrevirus
1249467	Okra enation leaf curl alphasatellite
1248396	Human papillomavirus type 156
1249677	Heterobasidion partitivirus 8 strain=HetPV8-ir1
1249676	Grapevine endophyte alphaendornavirus
1250303	Sunflower leaf curl Karnataka alphasatellite
1250316	Olive viral satellite RNA
1255765	Tomato yellow leaf curl China betasatellite
1254425	Porcine astrovirus 3
1256869	Perch perhabdovirus
1254420	Nanay virus strain=PRD316/PER/09
1260769	Ageratum enation alphasatellite
1261100	Achimota virus 1
1258572	Escherichia phage EC1-UPM
1261101	Achimota virus 2
1262512	Staphylococcus phage Team1
1261657	Murid betaherpesvirus 8
1262513	Serratia phage phiMAM1
1262516	Leuconostoc phage LN04
1262515	Leuconostoc phage LN03
1262514	Pseudomonas phage MPK6
1262517	Leuconostoc phage phiLN12
1262519	Leuconostoc phage LN34
1262518	Leuconostoc phage LN25
1262520	Leuconostoc phage phiLN6B
1262521	Leuconostoc phage phiLNTR3
1262522	Leuconostoc phage P793
1262523	Leuconostoc phage phiLNTR2
1262527	Halovirus HSTV-2
1262530	Halovirus HSTV-1
1262528	Halovirus HVTV-1
1262533	Lactococcus phage 340
1262535	Lactococcus phage jm2
1262532	Mycobacterium phage BTCU-1
1262536	Lactococcus phage jm3
1262537	Lactococcus phage P680
1262538	Lactococcus phage phi7
1263720	Betacoronavirus England 1
1262539	Vibrio phage VH7D
1264898	Ferret coronavirus
1264880	Sida ciliaris golden mosaic virus strain=Venezuela:Lara:M3:2009
1264700	Edwardsiella phage MSW-3
1264737	Cronobacter phage vB_CskP_GAP227
1266451	Mulberry vein banding virus
1266458	Tomato mottle wrinkle virus
1266977	Sida yellow net virus
1266994	Sida yellow mosaic Alagoas virus
1266995	Sida mottle Alagoas virus
1266993	Sida yellow blotch virus
1267585	Nilaparvata lugens honeydew virus 1
1267169	Streptococcus phage phiBHN167
1268011	Tigray virus
1269028	Acanthamoeba polyphaga moumouvirus strain=M10A
1268383	Rosavirus M-7 strain=Rosa.M-7
1272942	Gray Lodge virus strain=BFN3187
1272945	Kwatta virus strain=A-57
1272943	Joinjakaka virus strain=AusMK7937
1272946	La Joya virus strain=J-134
1272947	Landjia virus strain=DakAnB769d
1272952	New Minto virus strain=579
1272957	Sena Madureira virus strain=BeAn303197
1272949	Manitoba virus strain=Mn936-77
1272953	Oita virus strain=296-1972
1272958	Sweetwater Branch virus strain=UF-11
1272959	Xiburema virus
1273706	Enterobacteria phage phiJLA23
1273128	Kenaf leaf curl betasatellite
1272960	Yata virus
1273709	Pseudomonas phage PaP4
1273707	Pseudomonas virus H66
1273711	Synechococcus phage S-CBP1
1273712	Staphylococcus phage JS01
1273746	Halovirus HCTV-1
1273738	Escherichia phage PBECO4
1273747	Halovirus HCTV-2
1273748	Halovirus HCTV-5
1273749	Halovirus HGTV-1
1273750	Halovirus HHTV-1
1273751	Halovirus HHTV-2
1273752	Halovirus HRTV-4
1273753	Halorubrum Tailed Virus 5
1273754	Halorubrum Tailed Virus 7
1276181	Chaerephon polyomavirus 1
1273755	Halorubrum Tailed Virus 8
1277649	STL polyomavirus strain=MA138
1277672	Staphylococcus phage StauST398-2
1277886	Bacillus phage BPS10C
1278205	Dahlia latent viroid
1278402	Cyanophage S-RIM12
1278479	Cyanophage S-RIM32
1278485	Cyanophage S-RIM44
1279083	Pseudomonas phage PPpW-4
1279082	Pseudomonas phage PPpW-3
1279099	Sclerotinia sclerotiorum mitovirus 3
1280920	Sapovirus Hu/Nagoya/NGY-1/2012/JPN strain=Hu/SaV/Nagoya/NGY-1/2012/JPN
1282443	Cyanoramphus nest associated circular X DNA virus
1281454	Rodent hepacivirus
1282444	Cyanoramphus nest associated circular K DNA virus
1282967	Haloarcula hispanica virus PH1
1282994	Burkholderia phage ST79
1283077	Pelagibacter phage HTVC010P
1282995	Serratia phage Eta
1283073	Vibrio phage VCO139
1283071	Vibrio phage JA-1
1283076	Pelagibacter phage HTVC008M
1283078	Pelagibacter phage HTVC011P
1283079	Pelagibacter phage HTVC019P
1284208	Fusarium graminearum hypovirus 1
1286143	Nienokoue virus
1286213	Yellow baboon polyomavirus 1
1288359	Grass carp virus
1288358	Tench rhabdovirus
1286214	Yellow baboon polyomavirus 2
1285600	Nile crocodilepox virus
1289467	Lactococcus phage CaseusJM1
1290581	Chaetoceros setoense DNA virus
1291515	Acheta domesticus volvovirus
1293536	Turkey avisivirus
1292086	Vibrio phage JSF7
1293540	Adoxophyes honmai entomopoxvirus 'L'
1293539	Choristoneura rosaceana entomopoxvirus 'L'
1293572	Mythimna separata entomopoxvirus 'L'
1293961	Sida yellow vein China alphasatellite
1294177	Sebokele virus 1
1296569	Andean potato mild mosaic virus
1296573	Gastropod associated circular ssDNA virus strain=chc
1296646	Mycobacterium phage Butters
1296641	Staphylococcus phage LH1
1296647	Mycobacterium phage ShiVal
1296655	Bacillus phage JL
1296656	Bacillus phage Shanette
1296658	Brevibacillus phage Jimmer2
1296659	Brevibacillus phage Jimmer1
1296661	Brevibacillus phage Abouo
1297645	Corchorus yellow vein mosaic virus
1296662	Brevibacillus phage Davies
1297646	Corchorus yellow vein mosaic betasatellite
1298531	Sulfolobales Mexican fusellovirus 1
1297894	Citrus yellow vein-associated virus
1298385	Baboon adenovirus 3
1301220	Citrus vein enation virus
1300323	Scheffersomyces segobiensis virus L
1300004	Alteromonas phage vB_AmaP_AD45-P1
1301279	Invertebrate iridovirus 22
1302848	Chickpea chlorosis Australia virus
1302179	Palm Creek virus
1301280	Invertebrate iridovirus 25
1302850	Sporobolus striate mosaic virus 2
1302849	Sporobolus striate mosaic virus 1
1303019	ROUT virus
1303385	Tomato leaf curl Liwa virus
1303334	Human polyomavirus 12 strain=hu1403
1305708	Clostridium phage vB_CpeS-CP51
1306546	Alfalfa leaf curl virus
1305710	Mycobacterium phage FF47
1307800	Pegivirus A
1307119	Theiler's disease-associated virus
1307803	Equine pegivirus 1
1307804	Escherichia phage Lw1
1307958	Sweet potato C6 virus
1308859	Drosophila affinis sigmavirus
1307956	Leucania separata nucleopolyhedrovirus strain=AH1
1307954	Maruca vitrata nucleopolyhedrovirus
1307957	Clanis bilineata nucleopolyhedrovirus
1308863	Bacillus phage vB_BanS-Tsamsa
1309583	Bacillus phage MG-B1
1308896	Staphylococcus phage StauST398-4
1308899	Pseudomonas phage LKO4
1310424	Verticillium dahliae partitivirus 1
1311277	Capraria yellow spot Yucatan virus
1308897	Staphylococcus phage StauST398-5
1312445	Ustilaginoidea virens RNA virus 1
1312723	Abutilon golden mosaic Yucatan virus
1312724	Vigna yellow mosaic virus
1313215	Aichi virus 1
1312929	Cherry rusty mottle associated virus
1315259	human papillomavirus 166
1315262	human papillomavirus 163
1315264	Human papillomavirus type 161
1316453	Hybrid snakehead virus
1317107	Allamanda leaf mottle distortion virus
1319980	Staphylococcus phage PSa3
1316739	Pseudoalteromonas phage RIO-1
1319979	Persimmon viroid 2
1323523	Hop trefoil cryptic virus 2
1321391	Rodent pegivirus
1323524	Red clover cryptic virus 2
1323525	White clover cryptic virus 2
1323528	Crimson clover cryptic virus 2
1323529	Dill cryptic virus 2
1324128	Habenaria mosaic virus
1325372	Edwardsiella phage PEi21
1324959	Burdock mottle virus
1325446	Bat hepacivirus
1325953	Mycobacterium phage PegLeg
1325731	Flavobacterium phage 6H
1327035	Mycobacterium phage CASbig
1327036	Mycobacterium phage WIVsmall
1327037	Croceibacter phage P2559Y
1327758	Streptomyces phage Lika
1327759	Streptomyces phage Sujidade
1327760	Streptomyces phage Zemlya
1327762	Mycobacterium phage Astraea
1327763	Mycobacterium phage Breezona
1327764	Mycobacterium phage Dumbo
1327765	Mycobacterium phage Fishburne
1327766	Mycobacterium phage Newman
1327770	Mycobacterium phage HINdeR
1327772	Mycobacterium phage Jobu08
1327773	Mycobacterium phage PattyP
1327771	Mycobacterium phage Job42
1327774	Mycobacterium phage Phrux
1327775	Mycobacterium phage SDcharge11
1327776	Mycobacterium phage Severus
1327777	Mycobacterium phage SiSi
1327934	Cronobacter phage CR8
1327935	Cronobacter phage S13
1327936	Mycobacterium phage Gizmo
1327938	Mycobacterium phage ArcherS7
1327937	Mycobacterium phage Phaux
1327947	Mycobacterium phage Chy4
1327939	Mycobacterium phage Murphy
1327950	Mycobacterium phage DNAIII
1327952	Mycobacterium phage Leo
1327948	Mycobacterium phage Chy5
1327959	Mycobacterium phage Adler
1327956	Escherichia phage JES2013
1327966	Pseudomonas phage PAK_P4
1327964	Pseudomonas phage PAK_P5
1327965	Pseudomonas phage CHA_P1
1327968	Cellulophaga phage phi48:2
1327969	Cellulophaga phage phi12:2
1327970	Cellulophaga phage phi19:1
1327971	Cellulophaga phage phi19:3
1327974	Cellulophaga phage phi46:1
1327972	Cellulophaga phage phi17:2
1327976	Cellulophaga phage phi12:1
1327977	Cellulophaga phage phi38:1
1327980	Cellulophaga phage phi17:1
1327981	Cellulophaga phage phi10:1
1327983	Cellulophaga phage phi18:3
1327982	Cellulophaga phage phi18:1
1327987	Cellulophaga phage phi12a:1
1327990	Cellulophaga phage phi14:2
1327993	Cellulophaga phage phi39:1
1328031	Porcine stool-associated circular virus 2
1328030	Cellulophaga phage phi13:2
1328029	Cellulophaga phage phi4:1
1327985	Cellulophaga phage phi46:3
1329380	Ageratum Yellow vein China virus - OX1
1329381	Tomato leaf curl China virus - OX2
1329402	Eptesipox virus strain=Washington
1329649	Bat bocavirus
1329650	Bat circovirus
1330070	Melegrivirus A strain=turkey/B407-THV/2011/HUN
